emp_no,first_name,last_name,title,from_date,to_date
10001,Georgi,Facello,Senior Engineer,1986-06-26,9999-01-01
10004,Chirstian,Koblick,Engineer,1986-12-01,1995-12-01
10005,Kyoichi,Maliniak,Senior Staff,1996-09-12,9999-01-01
10006,Anneke,Preusig,Senior Engineer,1990-08-05,9999-01-01
10009,Sumant,Peac,Assistant Engineer,1985-02-18,1990-02-18
10018,Kazuhide,Peha,Engineer,1987-04-03,1995-04-03
10019,Lillian,Haddadi,Staff,1999-04-30,9999-01-01
10020,Mayuko,Warwick,Engineer,1997-12-30,9999-01-01
10022,Shahaf,Famili,Engineer,1999-09-03,9999-01-01
10023,Bojan,Montemayor,Engineer,1999-09-27,9999-01-01
10026,Yongqiao,Berztiss,Engineer,1995-03-20,2001-03-19
10035,Alain,Chappelet,Engineer,1988-09-05,1996-09-05
10047,Zvonko,Nyanchama,Engineer,1989-03-31,1998-03-31
10051,Hidefumi,Caine,Engineer,1992-10-15,1998-10-15
10053,Sanjiv,Zschoche,Senior Staff,1994-11-13,9999-01-01
10057,Ebbe,Callaway,Engineer,1992-01-15,2000-01-15
10058,Berhard,McFarlin,Senior Staff,1988-04-25,9999-01-01
10059,Alejandro,McAlpine,Senior Staff,1991-06-26,9999-01-01
10063,Gino,Leonhardt,Senior Engineer,1989-04-08,9999-01-01
10066,Kwee,Schusler,Assistant Engineer,1986-02-26,1992-02-26
10067,Claudi,Stavenow,Engineer,1987-03-04,1996-03-03
10070,Reuven,Garigliano,Technique Leader,1985-10-14,9999-01-01
10072,Hironoby,Sidou,Engineer,1989-05-21,1995-05-21
10074,Mokhtar,Bernatsky,Technique Leader,1990-08-13,9999-01-01
10076,Erez,Ritzmann,Senior Engineer,1996-07-15,9999-01-01
10088,Jungsoon,Syrzycki,Senior Staff,1993-09-02,9999-01-01
10091,Amabile,Gomatam,Engineer,1992-11-18,2001-11-18
10096,Jayson,Mandell,Engineer,1999-01-23,9999-01-01
10097,Remzi,Waschkowski,Senior Staff,1996-09-14,9999-01-01
10100,Hironobu,Haraldson,Senior Staff,1994-09-21,9999-01-01
10103,Akemi,Birch,Engineer,1998-01-12,9999-01-01
10106,Eben,Aingworth,Engineer,1991-10-27,1997-10-26
10126,Kayoko,Valtorta,Senior Staff,1991-09-08,9999-01-01
10127,Subir,Baja,Senior Engineer,1991-05-17,9999-01-01
10129,Armond,Peir,Technique Leader,1996-01-16,9999-01-01
10130,Nishit,Casperson,Senior Engineer,1988-06-21,9999-01-01
10134,Diederik,Siprelle,Engineer,1987-12-12,1994-12-12
10138,Perry,Shimshoni,Engineer,1992-03-03,2001-03-03
10150,Zhenbing,Perng,Engineer,1986-11-16,1995-11-16
10153,Heekeun,Majewski,Assistant Engineer,2000-01-08,9999-01-01
10157,Nigel,Aloisi,Senior Engineer,1997-12-10,9999-01-01
10159,Serif,Buescher,Senior Engineer,1996-06-12,9999-01-01
10160,Debatosh,Khasidashvili,Senior Staff,2000-12-06,9999-01-01
10163,Karsten,Szmurlo,Senior Staff,1992-02-02,9999-01-01
10166,Samphel,Siegrist,Engineer,1996-09-02,9999-01-01
10183,Mechthild,Bonifati,Staff,1996-08-11,9999-01-01
10194,Josyula,Hofmeyr,Senior Staff,2002-02-14,9999-01-01
10196,Marc,Hellwagner,Staff,1999-01-31,9999-01-01
10198,Pranav,Furedi,Engineer,1985-08-31,1993-08-31
10203,Steen,Escriba,Senior Staff,1995-04-06,9999-01-01
10205,Mabhin,Leijenhorst,Senior Engineer,1993-08-23,9999-01-01
10207,Girolamo,Anandan,Engineer,1992-10-11,1997-10-11
10215,Xiaobin,Duclos,Senior Staff,1991-11-23,9999-01-01
10219,Genta,Kolvik,Senior Staff,1993-03-31,9999-01-01
10224,Leon,Trogemann,Engineer,1988-01-09,1996-01-09
10228,Karoline,Cesareni,Senior Staff,1998-12-22,9999-01-01
10230,Clyde,Vernadat,Senior Staff,2002-06-16,9999-01-01
10233,Lein,Vendrig,Senior Staff,2000-04-28,9999-01-01
10239,Nikolaos,Llado,Staff,1996-05-04,9999-01-01
10240,Remko,Maccarone,Engineer,1998-10-06,9999-01-01
10248,Frederique,Tempesti,Senior Staff,1997-08-12,9999-01-01
10249,Marie,Boreale,Engineer,1991-12-08,2000-12-07
10258,Basil,Ishibashi,Assistant Engineer,1985-05-17,1991-05-17
10262,Mahendra,Maraist,Staff,1996-01-22,9999-01-01
10272,Yishai,Cannane,Staff,1997-10-23,9999-01-01
10281,Moty,Kusakari,Engineer,1994-12-03,2000-12-02
10282,Hercules,Benzmuller,Assistant Engineer,1996-05-02,2001-05-02
10283,Kauko,Birjandi,Engineer,1988-05-25,1995-05-26
10284,Masali,Murrill,Engineer,1999-07-06,9999-01-01
10295,Kristine,Velardi,Senior Staff,2000-06-18,9999-01-01
10298,Dietrich,DuCasse,Staff,1999-04-27,9999-01-01
10306,Heng,Kilgour,Staff,1993-09-06,9999-01-01
10307,Nikolaos,Leaver,Engineer,1999-10-16,9999-01-01
10322,Isamu,Dahlbom,Engineer,1990-01-29,1997-01-29
10325,Arunachalam,Badr,Senior Staff,1990-09-20,9999-01-01
10326,Masali,Czap,Staff,1998-09-02,9999-01-01
10328,Serenella,Kawashima,Engineer,1998-07-17,9999-01-01
10333,Snehasis,Dymetman,Engineer,1993-01-16,1998-01-16
10340,Djelloul,Laventhal,Senior Staff,1993-03-30,9999-01-01
10343,Dinah,Syrzycki,Senior Engineer,1997-10-03,9999-01-01
10347,Pradeep,Kaminger,Staff,1998-02-20,9999-01-01
10349,Oksana,Brodie,Senior Staff,1997-09-27,9999-01-01
10353,Phule,Hammerschmidt,Senior Staff,1989-08-24,9999-01-01
10355,Satyanarayana,Cochrane,Staff,1996-01-26,9999-01-01
10356,Vasilis,Standera,Senior Staff,1995-06-26,9999-01-01
10358,Qunsheng,Tagansky,Technique Leader,1991-02-19,9999-01-01
10364,Nakhoon,Dengi,Senior Engineer,1985-11-14,9999-01-01
10367,Hyuckchul,Gini,Senior Staff,2000-06-23,9999-01-01
10372,Anneli,Frijda,Technique Leader,1985-07-30,9999-01-01
10377,Marl,Grospietsch,Senior Engineer,1996-08-24,9999-01-01
10387,Parto,Wrigley,Senior Staff,1999-01-07,9999-01-01
10388,Hironoby,Kaiser,Staff,1999-05-28,9999-01-01
10389,Make,Peir,Technique Leader,1999-05-13,9999-01-01
10396,Sibyl,Rahier,Senior Engineer,1986-01-11,9999-01-01
10397,Irena,Reutenauer,Technique Leader,1993-05-21,9999-01-01
10402,Volkmar,Ebeling,Technique Leader,1987-01-02,9999-01-01
10404,Prodip,Rosti,Engineer,1988-08-28,1996-08-28
10407,Ulf,Siepmann,Senior Staff,1999-10-30,9999-01-01
10413,Danel,Impagliazzo,Senior Staff,1997-12-26,9999-01-01
10418,Candida,Porotnikoff,Staff,1996-10-04,9999-01-01
10422,Greger,Rubsam,Engineer,1995-01-03,9999-01-01
10426,Arunas,Luce,Technique Leader,1985-07-06,9999-01-01
10429,Martien,Improta,Senior Engineer,1988-09-23,9999-01-01
10432,Hisao,Tiemann,Senior Staff,1996-08-12,9999-01-01
10433,Reuven,Dengi,Assistant Engineer,1992-11-26,1999-11-27
10451,Bodh,Ranta,Assistant Engineer,1988-03-12,1993-03-12
10453,Tsvetan,Matzel,Senior Staff,1993-04-02,9999-01-01
10463,Ung,Zaiane,Staff,1994-02-17,9999-01-01
10477,Guoxiang,Trogemann,Engineer,1997-05-26,2002-05-26
10486,Amstein,Kossowski,Engineer,1987-10-08,1996-10-07
10494,Yakkov,Servieres,Engineer,1991-12-18,2000-12-17
10497,Pramod,Rabehasaina,Engineer,1992-01-22,1999-01-22
10499,Maik,Luft,Senior Staff,2001-07-31,9999-01-01
10503,Dannz,Pell,Engineer,1997-03-13,9999-01-01
10504,Xiong,Varker,Staff,1999-10-19,9999-01-01
10509,Abdelwaheb,Riesenhuber,Senior Staff,1997-10-06,9999-01-01
10512,Udi,Gihr,Senior Staff,1998-11-28,9999-01-01
10517,Tiina,Speek,Senior Staff,1990-12-25,9999-01-01
10522,Marke,Cesareni,Senior Staff,1995-12-12,9999-01-01
10529,Ymte,Yetto,Assistant Engineer,1997-07-04,9999-01-01
10531,Oguz,Gimbel,Staff,1995-03-16,9999-01-01
10542,Yannis,Couchot,Senior Engineer,1992-02-07,9999-01-01
10548,Ramalingam,Gunderson,Senior Staff,1993-07-04,9999-01-01
10552,Kazuhito,Shiratori,Senior Engineer,1998-08-31,9999-01-01
10564,Jianhao,Thisen,Engineer,1995-11-23,2000-11-22
10568,Gao,Poulakidas,Staff,1995-07-08,9999-01-01
10586,Kirk,Vuskovic,Engineer,1992-02-04,2000-02-04
10593,Falguni,Kenevan,Engineer,1990-09-12,1999-09-12
10596,Sanjit,Coors,Senior Staff,2001-05-23,9999-01-01
10603,Wayne,Restivo,Staff,1995-07-20,9999-01-01
10610,Irena,Roccetti,Engineer,1997-03-30,9999-01-01
10614,Gila,Ozeri,Engineer,1990-03-03,1998-03-03
10615,Keung,Delgrande,Senior Staff,2002-03-10,9999-01-01
10623,Aleksander,Danlos,Engineer,1992-01-15,1999-01-15
10624,Sham,Gyorkos,Technique Leader,1990-05-07,9999-01-01
10628,Krisda,Krogh,Assistant Engineer,1987-03-14,1994-03-14
10630,Bezalel,Katzenelson,Engineer,1997-01-13,9999-01-01
10631,Inderjeet,Chaudhuri,Engineer,1994-10-18,9999-01-01
10634,Nahid,Chepyzhov,Assistant Engineer,1990-11-11,1995-11-11
10636,Saeko,Porotnikoff,Staff,1996-09-25,9999-01-01
10639,Pramod,Erol,Engineer,1992-10-25,1999-10-26
10641,Guozhong,Zucker,Assistant Engineer,1993-03-21,1999-03-21
10642,Hirochika,Narlikar,Engineer,1998-10-05,9999-01-01
10653,Otmar,Feinberg,Senior Engineer,1987-04-30,9999-01-01
10667,Makato,Cusworth,Senior Staff,1999-07-28,9999-01-01
10671,Parviz,Rebaine,Senior Staff,2001-09-13,9999-01-01
10676,Valeri,Danley,Engineer,1999-09-04,9999-01-01
10683,Guiseppe,Stranks,Senior Engineer,1997-06-23,9999-01-01
10693,Berhard,Daescu,Senior Staff,1991-01-08,9999-01-01
10696,Unal,Fendler,Technique Leader,1991-09-09,9999-01-01
10702,Bader,Szemeredi,Senior Engineer,1991-01-14,9999-01-01
10712,Uma,Koprowski,Engineer,1994-08-18,2001-08-18
10718,Adib,Rullman,Engineer,1988-07-21,1997-07-21
10726,Zita,Minakawa,Engineer,1992-02-25,2001-02-24
10734,Sachar,Erdi,Engineer,1995-12-19,9999-01-01
10741,Sven,Huttel,Senior Staff,1997-01-06,9999-01-01
10742,Shim,Wiegley,Technique Leader,1997-04-03,9999-01-01
10745,Poorav,Ranze,Engineer,1988-01-23,1997-01-22
10749,King,Brendel,Engineer,1985-09-26,1990-09-26
10750,Roddy,Demeyer,Technique Leader,1998-11-06,9999-01-01
10764,Yunming,Beetstra,Engineer,1989-11-27,1998-11-27
10767,Monique,Doering,Staff,1997-07-15,9999-01-01
10768,Ishfaq,Candan,Engineer,1985-07-04,1990-07-04
10778,Selwyn,Merey,Senior Staff,1986-07-04,9999-01-01
10791,Tadahiko,Sgarro,Engineer,1988-07-30,1995-07-31
10795,Supot,Naudin,Senior Staff,1999-05-03,9999-01-01
10808,Chenxi,Leijenhorst,Senior Engineer,1987-03-07,9999-01-01
10811,Ashish,Fortenbacher,Engineer,1997-07-08,9999-01-01
10813,Shalesh,Shumilov,Senior Staff,1990-04-27,9999-01-01
10814,Nidapan,Dymetman,Senior Staff,1998-07-17,9999-01-01
10826,Arnd,Anandan,Senior Engineer,1993-01-22,9999-01-01
10827,Willard,Danley,Staff,1996-11-07,9999-01-01
10830,Fen,Fiebach,Senior Staff,1997-08-23,9999-01-01
10831,Toong,Driscoll,Technique Leader,1998-02-22,9999-01-01
10833,Krisda,Gecseg,Technique Leader,1998-12-23,9999-01-01
10834,Huiqun,Rajcani,Assistant Engineer,1990-11-24,1999-11-24
10835,Tomoyuki,Kermarrec,Engineer,1995-08-22,9999-01-01
10836,Jianhua,Leivant,Senior Staff,1987-08-10,9999-01-01
10844,Dipayan,Koprowski,Engineer,1997-04-25,9999-01-01
10846,Tokuyasu,Serre,Senior Engineer,1995-01-17,9999-01-01
10847,Theirry,Danley,Senior Staff,1992-07-24,9999-01-01
10848,Fen,Bratsberg,Engineer,1985-04-20,1992-04-20
10849,Makato,Mayerwieser,Assistant Engineer,1995-06-25,2001-06-24
10854,Jagoda,Nannarelli,Engineer,1998-07-13,9999-01-01
10858,Kenroku,Gonthier,Engineer,1997-01-01,2002-01-01
10871,Aram,Gilg,Staff,1999-06-16,9999-01-01
10872,Karoline,Speel,Senior Staff,1996-09-05,9999-01-01
10873,Sukumar,Wegerle,Staff,1994-03-23,9999-01-01
10878,Lakshmi,Deville,Staff,1997-04-25,9999-01-01
10879,Muzhong,Chleq,Senior Engineer,1985-08-15,9999-01-01
10882,Fun,Heuser,Engineer,1999-04-29,9999-01-01
10883,Shimshon,Champarnaud,Engineer,1996-12-28,9999-01-01
10885,Rayond,Cronau,Senior Staff,1991-08-19,9999-01-01
10887,Lunjin,DeMori,Senior Engineer,1989-03-17,9999-01-01
10900,Ferdinand,Prenel,Senior Engineer,1995-09-07,9999-01-01
10906,Munehiro,Carrere,Staff,1998-10-18,9999-01-01
10909,Georgi,Atchley,Engineer,1993-12-26,2000-12-26
10913,Narain,Thummel,Staff,1998-10-25,9999-01-01
10920,Ronghao,Narahara,Senior Staff,1998-02-23,9999-01-01
10921,Mara,Bahi,Engineer,1986-07-27,1995-07-27
10924,Hironoby,Atchley,Senior Staff,1997-08-14,9999-01-01
10926,Leni,Eppinger,Engineer,1990-04-30,1995-04-30
10927,Gal,Scallan,Senior Staff,1993-09-12,9999-01-01
10930,Arch,Minakawa,Engineer,1991-11-22,1998-11-22
10932,Avishai,Picci,Engineer,1994-09-09,1999-09-09
10936,Mountaz,Schicker,Senior Staff,1996-05-08,9999-01-01
10942,Toshimitsu,Larfeldt,Engineer,1996-01-21,9999-01-01
10943,Berna,Skafidas,Engineer,1993-05-22,1999-05-22
10944,Remko,Zyda,Senior Engineer,1995-09-07,9999-01-01
10947,Gor,Usery,Senior Staff,2001-11-15,9999-01-01
